progname,probsize,OMP_NUM_THREADS,OMP_PROC_BIND,OMP_PLACES,OMP_SCHEDULE,xtime,stddev
bfs_rodinia,lrgprob,10,spread,threads,"dynamic,32",0.15227433333333332,0.0016965356858413912
bfs_rodinia,lrgprob,10,spread,threads,"dynamic,512",0.03959033333333333,0.002449980067946136
bfs_rodinia,lrgprob,10,spread,threads,"dynamic,64",0.09099666666666667,0.0013684335326691428
bfs_rodinia,lrgprob,10,spread,threads,"dynamic,8",0.44209433333333337,0.0014134589959858576
bfs_rodinia,lrgprob,10,spread,threads,"guided,1",0.033597999999999996,0.002287637864697994
bfs_rodinia,lrgprob,10,spread,threads,"guided,128",0.033148000000000004,0.0021466469201990375
bfs_rodinia,lrgprob,10,spread,threads,"guided,256",0.031849999999999996,0.0017043963740867338
bfs_rodinia,lrgprob,10,spread,threads,"guided,32",0.033223666666666665,0.001993720224438057
bfs_rodinia,lrgprob,10,spread,threads,"guided,512",0.03324266666666666,0.0018717308389117637
bfs_rodinia,lrgprob,10,spread,threads,"guided,64",0.033758666666666666,0.0027517649487798397
bfs_rodinia,lrgprob,10,spread,threads,"guided,8",0.03228266666666667,0.0007744316195335362
bfs_rodinia,lrgprob,10,spread,threads,static,0.032864333333333336,0.0019732719866590418
bfs_rodinia,lrgprob,10,spread,threads,"static,1",0.37905966666666663,0.1246730302043442
bfs_rodinia,lrgprob,10,spread,threads,"static,128",0.050058,0.002325259555404514
bfs_rodinia,lrgprob,10,spread,threads,"static,256",0.041533,0.0011228463830818508
bfs_rodinia,lrgprob,10,spread,threads,"static,32",0.078406,0.0029887534190695627
bfs_rodinia,lrgprob,10,spread,threads,"static,512",0.038253333333333334,0.0025330389521942506
bfs_rodinia,lrgprob,10,spread,threads,"static,64",0.06212033333333333,0.002938166491765458
bfs_rodinia,lrgprob,10,spread,threads,"static,8",0.14844566666666667,0.0018839066678934318
bfs_rodinia,lrgprob,20,close,cores,"dynamic,1",1.1268813333333334,0.0008207047784271702
bfs_rodinia,lrgprob,20,close,cores,"dynamic,128",0.037906333333333334,0.0013119913617601826
bfs_rodinia,lrgprob,20,close,cores,"dynamic,256",0.032877666666666666,0.0016774582955571013
bfs_rodinia,lrgprob,20,close,cores,"dynamic,32",0.073093,0.001087682398496914
bfs_rodinia,lrgprob,20,close,cores,"dynamic,512",0.03026633333333333,0.0013571707089873896
bfs_rodinia,lrgprob,20,close,cores,"dynamic,64",0.04902333333333333,0.0023754756015024335
bfs_rodinia,lrgprob,20,close,cores,"dynamic,8",0.18480266666666667,0.0026060255818647275
bfs_rodinia,lrgprob,20,close,cores,"guided,1",0.028032333333333336,0.0009478535400225773
bfs_rodinia,lrgprob,20,close,cores,"guided,128",0.03043333333333333,0.0007350866162115406
bfs_rodinia,lrgprob,20,close,cores,"guided,256",0.031373000000000005,0.004610135247473768
bfs_rodinia,lrgprob,20,close,cores,"guided,32",0.029336,0.0017914566698639409
bfs_rodinia,lrgprob,20,close,cores,"guided,512",0.028919,0.0010437605089291314
