progname,probsize,OMP_NUM_THREADS,OMP_PROC_BIND,OMP_PLACES,OMP_SCHEDULE,xtime,stddev
bt_nas,lrgprob,8,close,cores,"guided,1",3175.4066666666663,1.5044046441478522
bt_nas,lrgprob,8,close,cores,"guided,128",4500.0,0.0
bt_nas,lrgprob,8,close,cores,"guided,256",4500.0,0.0
bt_nas,lrgprob,8,close,cores,"guided,32",3899.5733333333333,3.4250888066348923
bt_nas,lrgprob,8,close,cores,"guided,512",4500.0,0.0
bt_nas,lrgprob,8,close,cores,"guided,64",3926.5733333333337,7.389839871968224
bt_nas,lrgprob,8,close,cores,"guided,8",3393.346666666667,2.1957762484672587
bt_nas,lrgprob,8,close,cores,static,3183.67,2.19597358818374
bt_nas,lrgprob,8,close,cores,"static,1",3188.8133333333335,2.730006104999297
bt_nas,lrgprob,8,close,cores,"static,128",4500.0,0.0
bt_nas,lrgprob,8,close,cores,"static,256",4500.0,0.0
bt_nas,lrgprob,8,close,cores,"static,32",3914.0633333333335,4.404285791514059
bt_nas,lrgprob,8,close,cores,"static,512",4500.0,0.0
bt_nas,lrgprob,8,close,cores,"static,64",3925.09,5.5364519324203005
bt_nas,lrgprob,8,close,cores,"static,8",3463.33,1.469319570413614
bt_nas,lrgprob,8,close,sockets,"dynamic,1",3195.14,3.646134939905522
bt_nas,lrgprob,8,close,sockets,"dynamic,128",4500.0,0.0
bt_nas,lrgprob,8,close,sockets,"dynamic,256",4500.0,0.0
bt_nas,lrgprob,8,close,sockets,"dynamic,32",3896.0466666666666,8.190887212831832
bt_nas,lrgprob,8,close,sockets,"dynamic,512",4500.0,0.0
bt_nas,lrgprob,8,close,sockets,"dynamic,64",3954.35,11.293236914188949
bt_nas,lrgprob,8,close,sockets,"dynamic,8",3417.0933333333337,1.4000119047112736
bt_nas,lrgprob,8,close,sockets,"guided,1",3194.7166666666667,1.1057275131484274
bt_nas,lrgprob,8,close,sockets,"guided,128",4500.0,0.0
bt_nas,lrgprob,8,close,sockets,"guided,256",4500.0,0.0
bt_nas,lrgprob,8,close,sockets,"guided,32",3881.7466666666664,3.2478351764421127
bt_nas,lrgprob,8,close,sockets,"guided,512",4500.0,0.0
bt_nas,lrgprob,8,close,sockets,"guided,64",3953.786666666667,6.578953817540655
bt_nas,lrgprob,8,close,sockets,"guided,8",3414.5166666666664,3.0712266821797263
bt_nas,lrgprob,8,close,sockets,static,3157.81,4.320428219517073
bt_nas,lrgprob,8,close,sockets,"static,1",3212.4900000000002,9.19593932124385
bt_nas,lrgprob,8,close,sockets,"static,128",4500.0,0.0
bt_nas,lrgprob,8,close,sockets,"static,256",4500.0,0.0
bt_nas,lrgprob,8,close,sockets,"static,32",3964.043333333333,4.76050767600812
bt_nas,lrgprob,8,close,sockets,"static,512",4500.0,0.0
bt_nas,lrgprob,8,close,sockets,"static,64",3962.7100000000005,3.0667735488620274
bt_nas,lrgprob,8,close,sockets,"static,8",3489.5466666666666,7.296069718234108
bt_nas,lrgprob,8,close,threads,"dynamic,1",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"dynamic,128",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"dynamic,256",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"dynamic,32",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"dynamic,512",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"dynamic,64",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"dynamic,8",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"guided,1",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"guided,128",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"guided,256",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"guided,32",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"guided,512",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"guided,64",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"guided,8",4500.0,0.0
bt_nas,lrgprob,8,close,threads,static,4500.0,0.0
bt_nas,lrgprob,8,close,threads,"static,1",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"static,128",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"static,256",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"static,32",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"static,512",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"static,64",4500.0,0.0
bt_nas,lrgprob,8,close,threads,"static,8",4500.0,0.0
bt_nas,lrgprob,8,spread,cores,"dynamic,1",3170.9233333333336,2.095049720969302
bt_nas,lrgprob,8,spread,cores,"dynamic,128",4500.0,0.0
bt_nas,lrgprob,8,spread,cores,"dynamic,256",4500.0,0.0
bt_nas,lrgprob,8,spread,cores,"dynamic,32",3899.2466666666664,6.28770493370459
bt_nas,lrgprob,8,spread,cores,"dynamic,512",4500.0,0.0
bt_nas,lrgprob,8,spread,cores,"dynamic,64",3921.5833333333335,4.656139316357794
bt_nas,lrgprob,8,spread,cores,"dynamic,8",3419.513333333334,0.6294706771036188
bt_nas,lrgprob,8,spread,cores,"guided,1",3170.9133333333334,3.6453440624082187
bt_nas,lrgprob,8,spread,cores,"guided,128",4500.0,0.0
bt_nas,lrgprob,8,spread,cores,"guided,256",4500.0,0.0
bt_nas,lrgprob,8,spread,cores,"guided,32",3897.566666666667,1.8150573911954682
bt_nas,lrgprob,8,spread,cores,"guided,512",4500.0,0.0
bt_nas,lrgprob,8,spread,cores,"guided,64",3918.513333333334,4.402298641997665
bt_nas,lrgprob,8,spread,cores,"guided,8",3390.09,2.753161818709623
bt_nas,lrgprob,8,spread,cores,static,3127.1633333333334,4.385593840443085
bt_nas,lrgprob,8,spread,cores,"static,1",3182.406666666667,4.9643159985373435
bt_nas,lrgprob,8,spread,cores,"static,128",4500.0,0.0
bt_nas,lrgprob,8,spread,cores,"static,256",4500.0,0.0
bt_nas,lrgprob,8,spread,cores,"static,32",3910.77,4.9119751628036115
bt_nas,lrgprob,8,spread,cores,"static,512",4500.0,0.0
bt_nas,lrgprob,8,spread,cores,"static,64",3928.7566666666667,8.780559966957334
bt_nas,lrgprob,8,spread,cores,"static,8",3462.3566666666666,5.890138651452265
bt_nas,lrgprob,8,spread,sockets,"dynamic,1",3190.9133333333334,0.42193996413382817
bt_nas,lrgprob,8,spread,sockets,"dynamic,128",4500.0,0.0
bt_nas,lrgprob,8,spread,sockets,"dynamic,256",4500.0,0.0
bt_nas,lrgprob,8,spread,sockets,"dynamic,32",3888.036666666667,8.425404045702349
bt_nas,lrgprob,8,spread,sockets,"dynamic,512",4500.0,0.0
bt_nas,lrgprob,8,spread,sockets,"dynamic,64",3947.963333333333,8.60572096534246
bt_nas,lrgprob,8,spread,sockets,"dynamic,8",3414.59,1.5062204353945485
bt_nas,lrgprob,8,spread,sockets,"guided,1",3191.2333333333336,1.0106598504610753
bt_nas,lrgprob,8,spread,sockets,"guided,128",4500.0,0.0
bt_nas,lrgprob,8,spread,sockets,"guided,256",4500.0,0.0
bt_nas,lrgprob,8,spread,sockets,"guided,32",3895.27,11.899634448166978
bt_nas,lrgprob,8,spread,sockets,"guided,512",4500.0,0.0
bt_nas,lrgprob,8,spread,sockets,"guided,64",3927.736666666666,12.140223776081537
bt_nas,lrgprob,8,spread,sockets,"guided,8",3411.64,1.4835430563348815
bt_nas,lrgprob,8,spread,sockets,static,3161.7000000000003,11.20259344973294
bt_nas,lrgprob,8,spread,sockets,"static,1",3192.396666666666,20.483106047016662
bt_nas,lrgprob,8,spread,sockets,"static,128",4500.0,0.0
bt_nas,lrgprob,8,spread,sockets,"static,256",4500.0,0.0
bt_nas,lrgprob,8,spread,sockets,"static,32",3922.7000000000003,2.505134726915767
bt_nas,lrgprob,8,spread,sockets,"static,512",4500.0,0.0
bt_nas,lrgprob,8,spread,sockets,"static,64",3962.7766666666666,5.4635733117927545
bt_nas,lrgprob,8,spread,sockets,"static,8",3489.0466666666666,2.543626020729579
bt_nas,lrgprob,8,spread,threads,"dynamic,1",3192.2100000000005,5.112054381557293
bt_nas,lrgprob,8,spread,threads,"dynamic,128",4500.0,0.0
